id(sha1);sha256;DDOS SCORE;family;size;bits;arch;bintype;endianess;lang;static;stripped;decompiled;DDOS Str score;dynamic IP;static IP;User agent;NET files;SYS files;PROC files;AUTOINSTALL bins;HIST files;SYS calls;while ratio;code suspect lines ration;functions;line/func ratio;whiles;source file
007d875b4ba9bc6b178fbff3a57ba4281acc46da;469a4489ca6fd98ab8302a4f14ee44cece58252ab5954dffb0a3f08d3af40bf5;0.09;;56368;32;m68k;elf;big;c;1;1;0;7.33;0;0;0;0;1;0;0;0;0;0.00;0.00;NA;NA;NA;../dataset2/NewMalware/files/d2812554-741b-45ec-8f67-87fb961a83dd/stage2/shinto.m68k
00ae708f8575f4507327d58ccb56de4449074e2e;283098e598fc3865c1cbab52f6f031e8e6a108321e668ce1b2f5b4d6b917e005;0.32;Tsunami;146503;32;arm;elf;little;c;1;0;1;68.00;0;0;0;1;1;0;0;0;1;24.12;1.01;358;280;196;../dataset2/NewMalware/files/f0e67159-6990-48bc-ab6e-fa175a5e3858/stage2/besutoarmv6ls
017ddbe8a623a45b07f9af5e2870d3ca3ef9cfc4;82c553e2b9c044223e38f38d82667fa6da6db5e97eefdb88467cc1379d95ed28;0.71;;187046;32;mips;elf;little;c;1;0;1;76.67;1;1;1;1;1;1;1;1;1;8.37;0.62;258;672;129;../dataset2/NewMalware/files/1ee5d350-21dc-4009-99d8-ab9bcc1198b0/stage2/sshd
01a1a5d41cbe4440cc0d0bb35caac0ee696cb973;1ff3da0bb726a61b3cc362d0695fa01c722c51ae0a4923971509e8442bfcb6c0;0.82;Gafgyt;172385;32;arm;elf;little;c;1;0;1;76.67;1;1;1;1;1;1;1;1;1;21.68;2.23;366;204;272;../dataset2/NewMalware/files/7e38c2eb-4378-4b53-8154-124f2e98de5e/stage2/tftp
0236a8f385e5178780ec4bddc325e42ab6cf4246;9a7fcb6b570ebf3651013495481c33af6ffeca4337f47dfd8508e4dbf84888d4;0.21;Mirai;79932;32;mips;elf;little;c;1;1;1;16.67;0;0;0;1;1;1;0;0;0;11.92;0.36;134;629;64;../dataset2/NewMalware/files/c8873a47-cdd2-428b-be9c-3dfe70a8e72f/stage2/mirai.mpsl
023907607c0376bf417f2f543b32eb392a1a755d;45bf116954ee95c7d64630edb41b738b276bed61bbf844b05919cf3b6eb270a1;0.21;Mirai;83908;32;mips;elf;little;c;1;1;1;16.00;0;0;0;1;1;1;0;0;0;12.87;0.36;134;651;65;../dataset2/NewMalware/files/2eb608d2-10c0-4079-952d-36e7abc1509b/stage2/besuto.mpsl
0258bee8c5ea6d3823c61449fdf2a0aca192cd9f;58db9dcd8710eb9224d38f834d6dc0e55db9cde53021a589144db353c547f326;0.61;Mirai;1895360;32;x86;elf;little;c;1;1;0;64.00;1;0;1;1;1;1;0;0;0;0.00;0.00;NA;NA;NA;../dataset2/mirai/58db9dcd8710eb9224d38f834d6dc0e55db9cde53021a589144db353c547f326
026960ec0a8527df987ed5255e43db2197078f36;a5b676adc88e4af886870838140e5b883c1d8996b0fe5f5cbd9fe59cb792d990;0.83;Tsunami;138091;32;sparc;elf;big;c;0;0;0;82.67;1;1;1;0;1;1;1;0;0;0.00;0.00;NA;NA;NA;../dataset2/tsunami/a5b676adc88e4af886870838140e5b883c1d8996b0fe5f5cbd9fe59cb792d990
02912f6bc39635799f0ff64c3c03b67a1af52368;0c9fd8696b95959e3d7cbf8d1527a96779f8d62501b45103ce7895b742c19ade;0.24;Mirai;118061;32;arm;elf;little;c;1;0;1;53.33;0;0;0;0;1;1;0;0;0;19.70;1.19;260;311;236;../dataset2/mirai/0c9fd8696b95959e3d7cbf8d1527a96779f8d62501b45103ce7895b742c19ade
02cae1a2e2efed10379f6b19910f136cf0defdd9;66417b4a5942f40c145026559cb0f9154ff48ac4e98f373466ac37060b10846f;0.12;Mirai;48652;32;arm;elf;little;c;1;1;1;12.67;0;0;0;0;1;0;0;0;0;14.69;0.43;147;393;106;../dataset2/NewMalware/files/a72d4e41-be05-43f3-82b9-08e382639627/stage1.dat
02cd02292ef795cf808e155b49cd550968bde49e;eaa387c14cfa043056e1851adaaab22f71b06bb1cc5cdb7fbdceaf29e85cb264;0.32;Gafgyt;63183;32;x86;elf;little;c;1;0;1;45.33;0;1;0;1;1;0;0;0;0;26.25;1.51;202;214;94;../dataset2/NewMalware/files/86659446-af05-4aa0-a503-7633986c9dfa/stage1.dat
02fae19667796e24c462c76aa3a368ec60eaa208;0c14e85ce6665c74c11ed9242cc3bf9dfedaab60c0a3e1f6a9ed950b1497a763;0.06;Mirai;1216;32;arm;elf;little;c;1;0;1;4.67;0;0;0;0;1;0;0;0;0;0.00;0.65;12;38;NA;../dataset2/mirai/0c14e85ce6665c74c11ed9242cc3bf9dfedaab60c0a3e1f6a9ed950b1497a763
035ea2271bc4d0965fb7f7633fb976766f57cd1c;151826150c11dcc056f2389e8492e40a5885dd3ff0324104bbe31ec9b6208a22;0.82;;133262;32;x86;elf;little;c;1;0;1;76.67;1;1;1;1;1;1;1;1;1;20.20;2.41;263;256;184;../dataset2/NewMalware/files/b26b08f5-b89e-4712-9650-ff2b41229eff/stage2/wget
